time,ch1,ch2,ch3,ch4,ch5
0.0,-66.14384340773282,-63.15088768730802,-62.01905735132625,-61.02732731258004,-61.31883796310807
1.0,-64.8235664111575,-64.20603498587924,-62.791225682044896,-61.1775645651963,-60.25830163915337
2.0,-65.04132121538609,-62.862930940711244,-61.11483401827546,-60.8575410834158,-60.983115319951835
3.0,-64.50961953534518,-64.1843788669688,-61.49702059672102,-60.89759271570509,-60.2723182635532
4.0,-65.1103159354421,-63.25758117166376,-62.62265609292949,-61.653439084265464,-60.55356153897831
5.0,-65.60050334592921,-63.62365200223064,-62.20024491404443,-61.21497716146712,-60.08864415103875
6.0,-65.16510599958336,-63.80971217843854,-63.26326641574283,-60.726733281675166,-59.37329205680665
7.0,-64.55399262396436,-64.25852054770384,-62.58048076315168,-60.59249229033469,-60.38334701713633
8.0,-64.74601744202647,-63.920824216140815,-62.266482545231774,-61.36601131111461,-60.87540120199507
9.0,-64.83960512767317,-64.74824136227156,-62.86739122812943,-61.65613790708209,-61.158080519484294
10.0,-65.09173560786915,-63.787207726768465,-62.520023264547625,-61.40539811760243,-60.40246892344623
11.0,-65.56957162957714,-64.00979973758979,-62.06197035681583,-60.60264170583056,-60.25815612583282
12.0,-64.68069672800121,-62.485194850111874,-61.68634040615238,-60.98887281738374,-60.38561832509635
13.0,-64.75948555637815,-62.65611373330428,-62.14166170399473,-60.52908210884843,-60.169890490544795
14.0,-65.54987438197203,-62.77858810791463,-61.39935096143209,-60.51505521695049,-60.93167353882824
15.0,-65.47010475520872,-64.36521589958289,-62.25257435501748,-61.55091957326277,-60.18846616115868
16.0,-64.5840016680287,-64.69290357139288,-61.75442735310051,-61.165100614693806,-59.94650272359779
17.0,-65.5935708442721,-63.33162923722943,-63.2084761728262,-60.454203616087675,-60.88561714422505
18.0,-65.05236046356784,-63.05563287230208,-62.26923953843745,-60.930193910947246,-59.840621715636615
19.0,-65.04133942976374,-63.607932657434056,-61.56653584220966,-61.69173465088272,-59.5837592232491
20.0,-65.83066699836861,-63.925310789100664,-62.7462994272421,-61.533367011617244,-60.88334298031927
21.0,-64.80649073676746,-63.800736077247954,-60.764415953217785,-61.24873225863793,-60.273105158627686
22.0,-65.02177050677489,-63.91407932407949,-62.35898875707209,-61.62417401105859,-60.09469559218301
23.0,-65.0459262096241,-63.815718099382636,-61.93206938183908,-61.446970293288175,-60.77307107860977
24.0,-64.88301949462628,-63.37692958430001,-62.57128925542694,-62.005500616666936,-61.35419280218072
25.0,-65.9213503678956,-63.761731257254574,-62.191730790583215,-62.07529431323881,-60.34764091063716
26.0,-65.82908020611666,-63.97882521553143,-61.58585042906375,-60.312428437426966,-59.79165938262487
27.0,-65.90269191196347,-63.732350482509915,-61.65752990649878,-60.80398448118354,-59.987038900797316
28.0,-64.81866358786763,-64.14186026156057,-62.63025673405998,-61.94241270998303,-60.568893141254286
29.0,-65.5275313894097,-62.670142302580956,-61.73680006405436,-61.25823708579483,-59.4259366706334
30.0,-64.65762994426065,-63.429945111548555,-63.00959977489262,-61.99450933033027,-60.45933262606305
31.0,-64.19888371430255,-63.01839560280484,-61.35092011256295,-60.55319037896304,-59.94778928962717
32.0,-64.7155580715794,-64.66008217843438,-61.66778912648784,-60.69456041974031,-59.8732155749953
33.0,-65.30991139871531,-64.39173191139476,-63.00807295598729,-60.889225167156425,-59.91324600026066
34.0,-65.20195085965975,-63.53630694690629,-61.444481586789905,-61.592914903219395,-59.87651625658466
35.0,-64.14967187862213,-63.57784815017248,-61.444503628888796,-61.328245265651425,-60.848381254797715
36.0,-64.98851359053357,-63.44106013799186,-61.86736314260138,-62.17310317643635,-60.11770796934812
37.0,-65.55963900873512,-63.447399986229506,-62.799182445735696,-61.37882082287672,-59.29852800335905
38.0,-65.0480847890818,-63.87654462245992,-62.83673471494595,-59.72083493731022,-60.44596652950829
39.0,-64.85098189854516,-63.66218157012153,-61.67929946361281,-60.782625107594356,-59.93324092880618
40.0,-64.23957227658138,-62.715063742676605,-62.519832756954855,-61.450426539124194,-60.166942516813236
41.0,-64.20149195433612,-62.82555211013471,-62.40872089449664,-60.61705568140478,-60.642019028674696
42.0,-65.03159314439623,-63.56398611140621,-61.41513437193957,-61.054284128620885,-60.023842747925784
43.0,-64.30760104508109,-63.834271672857454,-61.548007243321535,-60.59775117178565,-60.53473415242475
44.0,-64.1851336904127,-63.290303397625365,-61.65357283186885,-60.60440318324354,-60.3003133803942
45.0,-65.10975148158096,-64.38698585385961,-61.98292275969956,-61.02951968896375,-59.836971551282986
46.0,-64.74211339914483,-63.52445190555478,-61.964741701433574,-61.46350007135053,-60.01924930832201
47.0,-65.33133209285273,-63.70355981649966,-62.24219651161656,-61.38537617765389,-59.84511307846253
48.0,-65.1715521887972,-63.86457276228689,-62.732858055878694,-61.35704538016409,-59.86481443040953
49.0,-65.20878255517388,-63.36206049260061,-61.36454854967554,-60.49004803556838,-59.20622994859768
50.0,-65.78087200501433,-63.06083614103791,-62.206490218899226,-60.75940302844734,-60.76616346851884
51.0,-64.69816552576617,-63.97160362625136,-62.31420398190149,-60.379390079786944,-60.62293611938141
52.0,-65.40205946878555,-63.45237722064068,-61.74019975740151,-61.16057811987956,-60.52051942101496
53.0,-64.11195079674674,-62.513615437258444,-61.79558579397132,-60.444187813616935,-59.77016008559453
54.0,-65.70095952634338,-64.0950651433234,-61.704278428394296,-61.451026540638274,-59.72665255569589
55.0,-65.16090085251875,-63.23171190415682,-61.7165280928071,-60.99839956514318,-60.13868938202299
56.0,-65.39710758475654,-63.28122208100828,-61.85167809967138,-60.63099676887436,-60.561531255231785
57.0,-64.93730045854716,-63.4616060364492,-61.728125032791404,-60.64082586817406,-60.25682317655052
58.0,-64.82159017385597,-62.99433728096872,-61.83946910252819,-62.06338601539695,-60.50835083977165
59.0,-65.30008523866469,-63.173122367661975,-62.090637933713005,-60.965003641641935,-60.45688414351391
60.0,-65.2224979840757,-63.465491360909915,-62.01241913213316,-60.61336494506329,-60.00361151587508
61.0,-65.5766060309084,-64.10118110804865,-62.37337059938153,-60.91394753542129,-60.43134413433462
62.0,-65.66158337266886,-64.11540571895412,-62.423475038332064,-60.97241164330132,-60.94128574450391
63.0,-63.90360174065962,-63.48421444826477,-62.0258295839219,-60.9785118521616,-59.94300164998167
64.0,-65.03273708410255,-63.256071421405665,-62.12636374748975,-60.86443261131591,-60.687466347080736
65.0,-64.81168343947232,-62.71000587653966,-62.624496166427704,-60.43363730404347,-60.30449963627176
66.0,-64.50281804473717,-63.13179514798186,-62.6002191951062,-59.83329359969888,-60.07139042871581
67.0,-65.1312056139804,-64.33178920734052,-61.56368115416325,-60.40234898254483,-60.868019090836064
68.0,-65.33323240051986,-63.98707176744512,-62.21560827905369,-61.25041752900417,-60.14101691294742
69.0,-65.43622094637061,-63.46088789989036,-61.62241433048,-61.3655530178472,-60.74594059427775
70.0,-64.0843289437847,-62.627925305499595,-61.47048681918899,-61.34641790852922,-60.420085624596716
71.0,-66.46740944366927,-63.609405364106806,-61.592271921668484,-61.07906832787587,-60.82551943657337
72.0,-64.56344294626923,-63.290350395199184,-61.89270064556012,-60.43327004628468,-59.145612682346204
73.0,-65.003125112701,-62.80345545270903,-62.162393540202316,-61.03699280568848,-60.08139038175532
74.0,-63.932849423885344,-64.28965807077533,-62.742252302020844,-61.00314060822981,-60.510517492543165
75.0,-64.35898283348675,-63.40414454187149,-63.542233078233046,-61.25489012455965,-60.21887522381417
76.0,-64.90242970042425,-64.21470093293695,-62.41038702024173,-61.10922656211728,-60.837419961181176
77.0,-64.9467942197588,-63.00439634162347,-61.970521602526716,-61.21602691393829,-59.84874758402688
78.0,-65.0360846182744,-63.49899886199409,-62.02133496495151,-60.77048574554443,-59.74024146650173
79.0,-65.35552931521897,-63.04051503976259,-61.59387740675505,-60.293071654476535,-60.99967241737675
80.0,-64.84379826260924,-63.8744637406375,-61.52218535433065,-62.021836734502514,-60.53633154520531
81.0,-65.04051185509115,-62.88324895281952,-62.64742757085177,-61.48005095684985,-60.0478548859688
