time,ch1,ch2,ch3,ch4,ch5
0.0,-65.48927112455857,-63.56278359396853,-62.36556763351118,-60.485306084669034,-60.32607244523785
1.0,-64.86056742869651,-63.43448285177519,-62.55433554835319,-60.93599582858075,-61.054114641746175
2.0,-65.04626676121009,-64.03439989317384,-61.32220513299681,-60.0953804967604,-60.360513617252465
3.0,-65.47826061534403,-64.38336015914192,-61.5900801042479,-60.508726382888995,-60.86248199988161
4.0,-64.9979309194432,-63.85432971951423,-61.2463576294122,-60.65642143639643,-60.6869825243636
5.0,-65.02407310235361,-63.85942721021914,-62.69024817837781,-60.70804318956436,-60.5247106649782
6.0,-65.33600294489811,-63.33171842406986,-62.088204994732344,-61.43335934702309,-59.55356182914833
7.0,-64.463877822738,-63.58094159125594,-62.168759374195766,-61.36768295423981,-59.68792881345977
8.0,-64.41161234321685,-64.14377839481767,-61.08960327293438,-62.482980940539754,-59.56325415338631
9.0,-64.08130777477349,-63.37103899349007,-61.39031560133948,-60.544244144894265,-59.770843380877615
10.0,-64.02033408545863,-63.28833956707034,-62.718035767780044,-61.556782770903936,-60.75196981545675
11.0,-65.10747544029861,-63.8746300571891,-62.11411214905792,-61.24342754140908,-59.62594509959618
12.0,-64.2057714232916,-63.98716147029787,-61.46824492008205,-60.305537385645,-60.328387264688715
13.0,-64.34774888190532,-63.9496127592236,-62.38538930513376,-62.07771963206505,-60.04524458417342
14.0,-65.06002116442069,-63.46872007684771,-61.56599962692732,-61.23913962540446,-59.97669869958484
15.0,-65.61925623114459,-64.6143705007563,-62.40945537036789,-60.88568631267342,-59.73160097580748
16.0,-65.1178526535902,-63.473570964375355,-61.43803979685367,-60.74610173331295,-60.85227439190007
17.0,-65.55530476277353,-63.44279396067392,-62.30665111591591,-61.20245181404453,-61.246375408162514
18.0,-65.62337430612578,-62.17681143800465,-61.537918387027304,-60.44165172722115,-60.59840309933404
19.0,-64.91399176647694,-63.03109022373408,-62.062796486425924,-60.444824381232586,-60.659094655635684
20.0,-64.78164209855724,-63.98390546013549,-63.370572924185865,-61.2991178227509,-60.81181607959145
21.0,-65.1018361276542,-63.947902322386646,-62.760649383037396,-61.080126951327244,-60.54513095409677
22.0,-65.1754502254732,-63.50455635709013,-61.24068989715306,-60.54833402959199,-61.10426833359471
23.0,-65.1145252926572,-63.07684811728522,-61.346018723047294,-60.994015578666,-60.424072674515685
24.0,-65.4636453950079,-63.27293434352522,-62.274823701037256,-61.12953143286537,-60.66185325350536
25.0,-64.85048118876671,-63.33216257386653,-61.45047008686731,-60.733040015530044,-59.78011288225078
26.0,-65.12839659479049,-63.46444482478023,-63.016631153218334,-61.17500436889649,-59.792952189084346
27.0,-65.0959716341195,-62.78085800852325,-61.69368410829305,-61.34234635923402,-60.53748377256056
28.0,-64.5834123770579,-63.86964208296861,-62.35196319092486,-61.31587794796344,-59.830691117323305
29.0,-65.06447800389414,-63.641243842995415,-62.12514688317617,-60.82680955612715,-60.51729443586076
30.0,-65.5509035596623,-64.39067765095027,-62.59947923945671,-60.76083705016768,-60.424649463033035
31.0,-64.57007002169414,-63.826059793795196,-62.23810308706422,-61.10778011039278,-60.13484809084741
32.0,-64.21083669866296,-63.65211996494862,-61.89344725808923,-61.180201448272946,-59.764133472757855
33.0,-65.05131270573827,-63.31467310259652,-61.27403454374673,-60.56943201325582,-60.07779333554813
34.0,-65.29737563942578,-63.46982893421992,-62.00890493021074,-61.035539713401334,-60.93092700226316
35.0,-64.98870503544198,-63.27810862243278,-61.36539486436794,-61.461026112701,-61.057906325152274
36.0,-65.58736973325108,-62.96844739495853,-62.302431054811024,-61.278148198996675,-61.16116995833421
37.0,-64.94137487015692,-63.78791839516643,-62.17190660937057,-60.63913821573116,-59.89686495536552
38.0,-65.26412783277561,-64.16892334160792,-61.57960592697719,-61.2628356578525,-60.30435740229057
39.0,-64.88448832402194,-63.42239431125958,-62.00463625876729,-61.0277598020197,-60.132533735491876
40.0,-64.45118952323438,-64.12260705123447,-62.18619765635885,-60.52806336742988,-60.23227682488496
41.0,-65.31353013371164,-63.39995633651137,-61.88641754728844,-61.597775286865186,-59.85681273903731
42.0,-64.46616286082961,-64.13263326780519,-62.56374473679528,-61.424320283944226,-59.81332080791055
43.0,-64.01114178212029,-62.858241062634406,-61.6222306260643,-60.33780274971489,-60.15996883562907
44.0,-64.32566904995794,-62.58190828705892,-62.007391844050396,-61.448282478899834,-60.59899633999446
